"date","yuan_per_usd","rupee_per_usd","yen_per_usd","franc_per_usd","euro_per_usd","pound_per_usd"
1999-01-04,8.2793,42.6,112.15,1.3666,0.846596681341009,0.603099933659007
1999-01-05,8.2795,42.56,111.15,1.3694,0.850340136054422,0.603646021972715
1999-01-06,8.2795,42.55,112.78,1.3852,0.85940185630801,0.604339155133861
1999-01-07,8.2798,42.55,111.69,1.3863,0.856751199451679,0.606244316459533
1999-01-08,8.2796,42.55,111.52,1.397,0.865501125151463,0.609570252971655
1999-01-11,8.2797,42.55,108.83,1.3963,0.867001907404196,0.610687022900763
1999-01-12,8.2795,42.55,112.07,1.389,0.865950813993765,0.613195977434388
1999-01-13,8.2794,42.53,113.46,1.3585,0.854846982390152,0.606317831807433
1999-01-14,8.279,42.55,113.25,1.3618,0.855505175806314,0.604960677555959
1999-01-15,8.279,42.5,114.19,1.3785,0.862738331464067,0.606060606060606
1999-01-19,8.2787,42.55,113.76,1.3752,0.861326442721791,0.604229607250755
1999-01-20,8.2791,42.55,113.45,1.3902,0.863930885529158,0.607275156373353
1999-01-21,8.2789,42.54,113.75,1.3855,0.863781636002419,0.605473480261565
1999-01-22,8.2787,42.55,114.65,1.3829,0.863408737696426,0.603864734299517
1999-01-25,8.2784,42.55,113.8,1.3823,0.864603147155456,0.603755358328805
1999-01-26,8.278,42.52,114.03,1.387,0.863781636002419,0.602954476936991
1999-01-27,8.2778,42.52,115.62,1.4012,0.871004267920913,0.606612071580224
1999-01-28,8.2778,42.55,116.36,1.4165,0.877577885037297,0.607164541590771
1999-01-29,8.2778,42.54,116,1.4168,0.879430129276229,0.607644163577809
1999-02-01,8.2775,42.55,115.09,1.4232,0.884720870565337,0.60938452163315
1999-02-02,8.2775,42.54,112.12,1.4111,0.882768361581921,0.608642726719416
1999-02-03,8.2776,42.5,112.46,1.4135,0.881911985183879,0.610687022900763
1999-02-04,8.2776,42.52,112.03,1.417,0.884486113568017,0.609942055504727
1999-02-05,8.2776,42.5,113.14,1.4173,0.886289107506869,0.610873549175321
1999-02-08,8.2776,42.5,114.38,1.4175,0.885269121813031,0.61050061050061
1999-02-09,8.2776,42.5,114.42,1.4183,0.884955752212389,0.61143381228982
1999-02-10,8.2776,42.45,114.45,1.4083,0.8825346394846,0.613873542050338
1999-02-11,8.2776,42.51,114.7,1.4154,0.884720870565337,0.615611918246737
1999-02-12,8.2776,42.6,114.32,1.4157,0.88636766530757,0.613083195389614
1999-02-16,8.2787,42.51,118.08,1.429,0.893734918223255,0.612857755714899
1999-02-17,8.2787,42.5,119.03,1.4247,0.890471950133571,0.612070020810381
1999-02-18,8.2787,42.51,119.82,1.425,0.891027354539784,0.612070020810381
1999-02-19,8.2787,42.47,121,1.4462,0.90293453724605,0.615195324515534
1999-02-22,8.2787,42.43,120.35,1.4483,0.906043308870164,0.615839389087326
1999-02-23,8.2787,42.48,121.45,1.4495,0.909669789866279,0.619655471557814
1999-02-24,8.2787,42.6,121.9,1.452,0.911410864017499,0.625782227784731
1999-02-25,8.2789,42.6,119.26,1.4345,0.903505601734731,0.62266500622665
1999-02-26,8.279,42.83,118.7,1.4495,0.909504320145521,0.623947089286829
