"date","yuan_rolling_vol","rupee_rolling_vol","yen_rolling_vol","franc_rolling_vol","euro_rolling_vol","pound_rolling_vol"
1999-01-05,NA,NA,NA,NA,NA,NA
1999-01-06,NA,NA,NA,NA,NA,NA
1999-01-07,NA,NA,NA,NA,NA,NA
1999-01-08,NA,NA,NA,NA,NA,NA
1999-01-11,NA,NA,NA,NA,NA,NA
1999-01-12,NA,NA,NA,NA,NA,NA
1999-01-13,NA,NA,NA,NA,NA,NA
1999-01-14,NA,NA,NA,NA,NA,NA
1999-01-15,NA,NA,NA,NA,NA,NA
1999-01-19,NA,NA,NA,NA,NA,NA
1999-01-20,NA,NA,NA,NA,NA,NA
1999-01-21,NA,NA,NA,NA,NA,NA
1999-01-22,NA,NA,NA,NA,NA,NA
1999-01-25,NA,NA,NA,NA,NA,NA
1999-01-26,NA,NA,NA,NA,NA,NA
1999-01-27,NA,NA,NA,NA,NA,NA
1999-01-28,NA,NA,NA,NA,NA,NA
1999-01-29,NA,NA,NA,NA,NA,NA
1999-02-01,NA,NA,NA,NA,NA,NA
1999-02-02,NA,NA,NA,NA,NA,NA
1999-02-03,NA,NA,NA,NA,NA,NA
1999-02-04,NA,NA,NA,NA,NA,NA
1999-02-05,NA,NA,NA,NA,NA,NA
1999-02-08,NA,NA,NA,NA,NA,NA
1999-02-09,NA,NA,NA,NA,NA,NA
1999-02-10,NA,NA,NA,NA,NA,NA
1999-02-11,NA,NA,NA,NA,NA,NA
1999-02-12,NA,NA,NA,NA,NA,NA
1999-02-16,NA,NA,NA,NA,NA,NA
1999-02-17,3.40776251677618e-05,0.000808171871045609,0.0123961674036063,0.00709371019750786,0.00492019653778069,0.00347710321529279
1999-02-18,3.37115351551854e-05,0.000793334837681247,0.0122473529055192,0.00709575016579522,0.00489633073674415,0.0034773232168548
1999-02-19,3.37115351551854e-05,0.000809662382542098,0.0121159577764778,0.00728132458480609,0.00508728752327976,0.00357732457310121
1999-02-22,3.28882775137156e-05,0.000825271675189339,0.0119926403889011,0.00728031282431908,0.00501682372715635,0.00354602810014895
1999-02-23,3.26837225048655e-05,0.000857294304679381,0.0120268392718323,0.00718498599162435,0.0047862041594067,0.00358217069414415
1999-02-24,3.2557789813295e-05,0.00100542296553574,0.0108690709538665,0.0071779817484798,0.0047864115131562,0.00395962117552447
1999-02-25,3.27222500472537e-05,0.00100542296553574,0.0107392110038503,0.00749736331963421,0.00512565445122418,0.00404651375230929
1999-02-26,3.27734653545122e-05,0.00139564150985446,0.0106280942697011,0.00626936320141402,0.00443797196823939,0.00338498611609885
1999-03-01,3.18707515840144e-05,0.00189435536909607,0.0106976329158982,0.00637828637519933,0.0046322419315586,0.00337539650488753
1999-03-02,3.25810602897658e-05,0.0018887480044875,0.0106544181680833,0.00616083826451368,0.004612316539858,0.00352960049964057
1999-03-03,3.18707165005929e-05,0.00187701683175342,0.0107031639760371,0.0061078453256676,0.00457481600334359,0.00346017076828164
1999-03-04,3.3261294286838e-05,0.00188172592301588,0.0109007933353062,0.00593106307555492,0.00462374809743877,0.00343180825386102
1999-03-05,3.31324971924152e-05,0.00188120278124358,0.011064703269318,0.00587318228534268,0.0046610110106727,0.00336658169118007
1999-03-08,3.31932055432531e-05,0.00188120255123476,0.0111445005188634,0.00597209166621553,0.0048289422849507,0.00331438331995389
1999-03-09,3.42670847810527e-05,0.00188570353971744,0.0110393693300561,0.00597262125433616,0.00482781142845301,0.00342700428162905
1999-03-10,3.37117966024334e-05,0.00188570772483753,0.0113780619968867,0.00620870512185724,0.00514480649427193,0.00372180585702572
1999-03-11,3.33440698135575e-05,0.00188753007577747,0.0111608809456082,0.00612201473598006,0.00499967163095217,0.00358113148418097
1999-03-12,3.33440698135575e-05,0.00189119221898109,0.0111669131383938,0.00598371087169237,0.00488555106035804,0.00366937825414564
1999-03-15,3.33440698135575e-05,0.00189258824285165,0.0113488760415133,0.00599910372721898,0.00488572596496885,0.00386228078418052
1999-03-16,3.24646520320252e-05,0.00189193377299567,0.0112387602301481,0.00596655449043899,0.00480528022879809,0.00384500564071351
1999-03-17,3.26115480896931e-05,0.00189158139383772,0.0100298186059539,0.00622236377010839,0.00512742633340973,0.00390997742687037
1999-03-18,3.259868056378e-05,0.001883767722097,0.0101071727936431,0.00623954394555669,0.00512006703154295,0.00386756883565473
1999-03-19,3.41193097104148e-05,0.00188167310612252,0.0101120138530993,0.00629987820911203,0.00519325009716442,0.00386308031737415
1999-03-22,3.42737816923862e-05,0.00187971151359566,0.0100956743174393,0.00629815788727636,0.0051910205906246,0.00386177155171076
1999-03-23,3.46750329480231e-05,0.00187971151359566,0.00994397284155808,0.00635657021338406,0.00518033425803799,0.00400376024282431
1999-03-24,3.46532548089726e-05,0.00187971151359566,0.0100194444042802,0.00636390439685719,0.00517956861020595,0.00401525867608963
1999-03-25,3.47402123399092e-05,0.00186653137906702,0.0100617578256274,0.00628093878357844,0.00516321348962304,0.00409548472227417
1999-03-26,3.48076817188038e-05,0.00184842552103413,0.0105762677176648,0.00649691321259937,0.00550377673535317,0.00424768045117786
1999-03-29,3.57698345167939e-05,0.00180582333825473,0.0105940857712843,0.00649239228854337,0.0055057651147188,0.00423019700446233
1999-03-30,2.75954241079347e-05,0.00176733823938568,0.00886229170583958,0.00632823311809993,0.00539201822331448,0.0042334463299973
